"","Site","Substrate","Rep","MDS1","MDS2"
"1","Arizona","Foam","A",-0.243723589217179,-0.128429033649443
"2","Arizona","Foam","B",-0.177280716224481,-0.0947222321592573
"3","Arizona","Foam","C",-0.305683292817263,-0.110484678894497
"4","Arizona","PVC","A",-0.0558361225413173,-0.100519488308532
"5","Arizona","PVC","B",-0.329570329965012,-0.132632222252971
"6","Arizona","PVC","C",0.0416316360482937,-0.0645882052296602
"7","Arizona","Tile","A",-0.27574268141373,-0.0936416495429382
"8","Arizona","Tile","B",-0.14301911522484,-0.0921509336430354
"9","Arizona","Tile","C",-0.123907830925352,-0.0845272269489225
"10","Higgins Creek","Foam","A",0.205299076041194,-0.0307328833532428
"11","Higgins Creek","Foam","B",0.172463244663259,-0.0356684945087222
"12","Higgins Creek","Foam","C",0.215923349671744,-0.0267658283668351
"13","Higgins Creek","PVC","A",0.19245979283688,-0.0386895913014974
"14","Higgins Creek","PVC","B",0.18674912673064,-0.0402444255805233
"15","Higgins Creek","PVC","C",0.130751735596018,-0.046236213319343
"16","Higgins Creek","Tile","A",0.126803554117831,-0.048836713012771
"17","Higgins Creek","Tile","B",0.165891105887466,-0.0462385728636693
"18","Higgins Creek","Tile","C",0.157335094735461,-0.0452812235578266
"19","Maryland","Foam","A",0.0457221029631181,0.0277221027518405
"20","Maryland","Foam","B",0.213805650194865,-0.0172612052304254
"21","Maryland","Foam","C",0.125047693758927,-0.0305251054797456
"22","Maryland","PVC","A",0.202791759116318,-0.0210767255283458
"23","Maryland","PVC","B",0.206228210548874,-0.0185896023682389
"24","Maryland","PVC","C",0.197699156793275,-0.0202514327745479
"25","Maryland","Tile","A",0.203151627265302,-0.0217361742457646
"26","Maryland","Tile","B",0.153671430745759,-0.019912865086084
"27","Maryland","Tile","C",0.204964806879061,-0.0220320912200734
"28","N Br Chicago R","Foam","A",-0.266624323098407,0.0198831299084774
"29","N Br Chicago R","Foam","B",-0.349738484608978,0.100515551737096
"30","N Br Chicago R","Foam","C",-0.109353307327244,-0.00572942424167384
"31","N Br Chicago R","PVC","A",-0.269002069699745,-0.0186989107398273
"32","N Br Chicago R","PVC","B",-0.134932969828708,-0.037671586735849
"33","N Br Chicago R","PVC","C",-0.236992046229793,0.0236094969787272
"34","N Br Chicago R","Tile","A",-0.389835049576086,0.0622280275199334
"35","N Br Chicago R","Tile","B",-0.443776861623346,-0.0349690934760185
"36","N Br Chicago R","Tile","C",-0.309573597597235,-0.0698994480060691
"37","Springbrook Creek","Foam","A",0.0660095230504052,0.0170282905904956
"38","Springbrook Creek","Foam","B",0.0627013900725234,0.0297317049213503
"39","Springbrook Creek","Foam","C",0.0830880301727864,0.0210533769849994
"40","Springbrook Creek","PVC","A",-0.436128999552751,0.255165991290516
"41","Springbrook Creek","PVC","B",0.0574486454094477,0.027112002641774
"42","Springbrook Creek","PVC","C",0.0908013726917779,0.0189560655002129
"43","Springbrook Creek","Tile","A",0.107447541928814,0.00882772592058832
"44","Springbrook Creek","Tile","B",0.118563752987941,0.00793040285204536
"45","Springbrook Creek","Tile","C",0.116084921887999,-0.00124027891352587
"46","Washington","Foam","A",0.0912580623179807,0.128562880782409
"47","Washington","Foam","B",0.104468837762059,0.0864529052954364
"48","Washington","Foam","C",0.0974202239029005,0.113274441541883
"49","Washington","PVC","A",-0.0198606078340562,0.189320764453514
"50","Washington","PVC","B",0.0908098561261499,0.0917766558743115
"51","Washington","PVC","C",-0.0640227246417553,0.254995272094002
"52","Washington","Tile","A",0.160458156683407,0.0187427554790923
"53","Washington","Tile","B",0.1302248145491,0.0683610393172088
"54","Washington","Tile","C",0.159429435809701,0.0287329761039621
