"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0
"2","Foam","Acidimicrobiia",0
"3","Tile","Acidimicrobiia",0.000192845434384341
"4","PVC","Actinobacteria_unclassified",0
"5","Foam","Actinobacteria_unclassified",0
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.0293747767703053
"8","Foam","Alphaproteobacteria",0.0427790633807256
"9","Tile","Alphaproteobacteria",0.0401018077478337
"10","PVC","Anaerolineae",0.0357142857142857
"11","Foam","Anaerolineae",0.0833333333333333
"12","Tile","Anaerolineae",0.166666666666667
"13","PVC","Bacilli",0.0666666666666667
"14","Foam","Bacilli",0.266666666666667
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.00577165462418729
"17","Foam","Bacteria_unclassified",0.00774337663634208
"18","Tile","Bacteria_unclassified",0.00605243782212072
"19","PVC","Bacteroidetes_unclassified",0
"20","Foam","Bacteroidetes_unclassified",0
"21","Tile","Bacteroidetes_unclassified",0
"22","PVC","Bacteroidia",0.0329421227743044
"23","Foam","Bacteroidia",0.0784614822127162
"24","Tile","Bacteroidia",0.0577675404921209
"25","PVC","Chlamydiae",0
"26","Foam","Chlamydiae",0.111111111111111
"27","Tile","Chlamydiae",0
"28","PVC","Chloroflexi_unclassified",0.0144927536231884
"29","Foam","Chloroflexi_unclassified",0.0579710144927536
"30","Tile","Chloroflexi_unclassified",0.173913043478261
"31","PVC","Cyanobacteria_unclassified",0.00378787878787879
"32","Foam","Cyanobacteria_unclassified",0.00420875420875421
"33","Tile","Cyanobacteria_unclassified",0.00378787878787879
"34","PVC","Deltaproteobacteria",0.0102843315184513
"35","Foam","Deltaproteobacteria",0.0254083484573503
"36","Tile","Deltaproteobacteria",0.0254083484573503
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0.333333333333333
"40","PVC","Firmicutes_unclassified",0
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0
"46","PVC","Gammaproteobacteria",0.00843179933665008
"47","Foam","Gammaproteobacteria",0.015967039800995
"48","Tile","Gammaproteobacteria",0.0137385986733002
"49","PVC","Gracilibacteria",0.00133466800133467
"50","Foam","Gracilibacteria",0.002002002002002
"51","Tile","Gracilibacteria",0.004004004004004
"52","PVC","Kiritimatiellae",0.00465116279069767
"53","Foam","Kiritimatiellae",0.0155038759689922
"54","Tile","Kiritimatiellae",0.00697674418604651
"55","PVC","Lentisphaerae_unclassified",0.0238095238095238
"56","Foam","Lentisphaerae_unclassified",0
"57","Tile","Lentisphaerae_unclassified",0.0476190476190476
"58","PVC","Lentisphaeria",0
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0
"61","PVC","Negativicutes",0
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0.242424242424242
"64","PVC","Oligosphaeria",0.111111111111111
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0
"67","PVC","Oxyphotobacteria",0.0148191874517812
"68","Foam","Oxyphotobacteria",0.0115592093242516
"69","Tile","Oxyphotobacteria",0.0132214866822182
"70","PVC","Patescibacteria_unclassified",0.0789473684210526
"71","Foam","Patescibacteria_unclassified",0.0241228070175439
"72","Tile","Patescibacteria_unclassified",0.135964912280702
"73","PVC","Phycisphaerae",0
"74","Foam","Phycisphaerae",0
"75","Tile","Phycisphaerae",0
"76","PVC","Planctomycetacia",0.0446473326172574
"77","Foam","Planctomycetacia",0.0698890082348729
"78","Tile","Planctomycetacia",0.0363766559255281
"79","PVC","Planctomycetes_unclassified",0
"80","Foam","Planctomycetes_unclassified",0.0666666666666667
"81","Tile","Planctomycetes_unclassified",0.0222222222222222
"82","PVC","Proteobacteria_unclassified",0.0152905198776758
"83","Foam","Proteobacteria_unclassified",0.0460626911314985
"84","Tile","Proteobacteria_unclassified",0.00783639143730887
"85","PVC","Verrucomicrobia_unclassified",0.111111111111111
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0.222222222222222
"88","PVC","Verrucomicrobiae",0.0523789527708763
"89","Foam","Verrucomicrobiae",0.0535862173542826
"90","Tile","Verrucomicrobiae",0.0468850240869697
