"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0
"2","Foam","Acidimicrobiia",0
"3","Tile","Acidimicrobiia",0
"4","PVC","Actinobacteria_unclassified",0
"5","Foam","Actinobacteria_unclassified",0
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.00393484544251254
"8","Foam","Alphaproteobacteria",0.0021159924004358
"9","Tile","Alphaproteobacteria",0.00537251971174481
"10","PVC","Anaerolineae",0
"11","Foam","Anaerolineae",0
"12","Tile","Anaerolineae",0.0238095238095238
"13","PVC","Bacilli",0
"14","Foam","Bacilli",0
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.00611483408832815
"17","Foam","Bacteria_unclassified",0.00548463179963311
"18","Tile","Bacteria_unclassified",0.00662024384460834
"19","PVC","Bacteroidetes_unclassified",0.111111111111111
"20","Foam","Bacteroidetes_unclassified",0.0555555555555556
"21","Tile","Bacteroidetes_unclassified",0.111111111111111
"22","PVC","Bacteroidia",0.00676392088040657
"23","Foam","Bacteroidia",0.00332711783847026
"24","Tile","Bacteroidia",0.00566706884574604
"25","PVC","Chlamydiae",0
"26","Foam","Chlamydiae",0
"27","Tile","Chlamydiae",0
"28","PVC","Chloroflexi_unclassified",0
"29","Foam","Chloroflexi_unclassified",0
"30","Tile","Chloroflexi_unclassified",0
"31","PVC","Cyanobacteria_unclassified",0.0227272727272727
"32","Foam","Cyanobacteria_unclassified",0.0256734006734007
"33","Tile","Cyanobacteria_unclassified",0.0197811447811448
"34","PVC","Deltaproteobacteria",0.0193587416817907
"35","Foam","Deltaproteobacteria",0.0120992135511192
"36","Tile","Deltaproteobacteria",0.0459770114942529
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0
"40","PVC","Firmicutes_unclassified",0
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0
"46","PVC","Gammaproteobacteria",0.00223362354892206
"47","Foam","Gammaproteobacteria",0.00207296849087894
"48","Tile","Gammaproteobacteria",0.00287106135986733
"49","PVC","Gracilibacteria",0.00767434100767434
"50","Foam","Gracilibacteria",0.00834167500834167
"51","Tile","Gracilibacteria",0.00834167500834167
"52","PVC","Kiritimatiellae",0.013953488372093
"53","Foam","Kiritimatiellae",0.0116279069767442
"54","Tile","Kiritimatiellae",0.0186046511627907
"55","PVC","Lentisphaerae_unclassified",0.0238095238095238
"56","Foam","Lentisphaerae_unclassified",0.0476190476190476
"57","Tile","Lentisphaerae_unclassified",0.0714285714285714
"58","PVC","Lentisphaeria",0.0793650793650794
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0.19047619047619
"61","PVC","Negativicutes",0
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0
"64","PVC","Oligosphaeria",0.111111111111111
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0.111111111111111
"67","PVC","Oxyphotobacteria",0.0217224247521304
"68","Foam","Oxyphotobacteria",0.0224874673935711
"69","Tile","Oxyphotobacteria",0.0211883383798038
"70","PVC","Patescibacteria_unclassified",0.00657894736842105
"71","Foam","Patescibacteria_unclassified",0
"72","Tile","Patescibacteria_unclassified",0.0219298245614035
"73","PVC","Phycisphaerae",0
"74","Foam","Phycisphaerae",0
"75","Tile","Phycisphaerae",0
"76","PVC","Planctomycetacia",0.00580021482277121
"77","Foam","Planctomycetacia",0.00268528464017186
"78","Tile","Planctomycetacia",0.00497672753311851
"79","PVC","Planctomycetes_unclassified",0
"80","Foam","Planctomycetes_unclassified",0
"81","Tile","Planctomycetes_unclassified",0
"82","PVC","Proteobacteria_unclassified",0.00668960244648318
"83","Foam","Proteobacteria_unclassified",0.0043960244648318
"84","Tile","Proteobacteria_unclassified",0.00840978593272171
"85","PVC","Verrucomicrobia_unclassified",0
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0
"88","PVC","Verrucomicrobiae",0.0129008176738869
"89","Foam","Verrucomicrobiae",0.00667203228703736
"90","Tile","Verrucomicrobiae",0.0170066836966791
