"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0.0103172307395622
"2","Foam","Acidimicrobiia",0.029408928743612
"3","Tile","Acidimicrobiia",0.00617105390029891
"4","PVC","Actinobacteria_unclassified",0
"5","Foam","Actinobacteria_unclassified",0
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.00347863147816326
"8","Foam","Alphaproteobacteria",0.00926834685467484
"9","Tile","Alphaproteobacteria",0.00507538035338574
"10","PVC","Anaerolineae",0.0238095238095238
"11","Foam","Anaerolineae",0
"12","Tile","Anaerolineae",0
"13","PVC","Bacilli",0
"14","Foam","Bacilli",0
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.00274543571312693
"17","Foam","Bacteria_unclassified",0.00647049280571051
"18","Tile","Bacteria_unclassified",0.00378745335879101
"19","PVC","Bacteroidetes_unclassified",0
"20","Foam","Bacteroidetes_unclassified",0
"21","Tile","Bacteroidetes_unclassified",0
"22","PVC","Bacteroidia",0.00394866732477789
"23","Foam","Bacteroidia",0.0131622244159263
"24","Tile","Bacteroidia",0.00603268619063288
"25","PVC","Chlamydiae",0
"26","Foam","Chlamydiae",0
"27","Tile","Chlamydiae",0.111111111111111
"28","PVC","Chloroflexi_unclassified",0.0434782608695652
"29","Foam","Chloroflexi_unclassified",0.0144927536231884
"30","Tile","Chloroflexi_unclassified",0.0144927536231884
"31","PVC","Cyanobacteria_unclassified",0.0248316498316498
"32","Foam","Cyanobacteria_unclassified",0.0256734006734007
"33","Tile","Cyanobacteria_unclassified",0.0164141414141414
"34","PVC","Deltaproteobacteria",0.0205686630369026
"35","Foam","Deltaproteobacteria",0.0187537810042347
"36","Tile","Deltaproteobacteria",0.0254083484573503
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0
"40","PVC","Firmicutes_unclassified",0.166666666666667
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0.333333333333333
"46","PVC","Gammaproteobacteria",0.00405783582089552
"47","Foam","Gammaproteobacteria",0.0111940298507463
"48","Tile","Gammaproteobacteria",0.00442060530679934
"49","PVC","Gracilibacteria",0.002002002002002
"50","Foam","Gracilibacteria",0.0173506840173507
"51","Tile","Gracilibacteria",0.000667334000667334
"52","PVC","Kiritimatiellae",0.0147286821705426
"53","Foam","Kiritimatiellae",0.0372093023255814
"54","Tile","Kiritimatiellae",0.0286821705426357
"55","PVC","Lentisphaerae_unclassified",0
"56","Foam","Lentisphaerae_unclassified",0
"57","Tile","Lentisphaerae_unclassified",0.0238095238095238
"58","PVC","Lentisphaeria",0
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0
"61","PVC","Negativicutes",0
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0
"64","PVC","Oligosphaeria",0
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0
"67","PVC","Oxyphotobacteria",0.0226340942354759
"68","Foam","Oxyphotobacteria",0.0206952771342278
"69","Tile","Oxyphotobacteria",0.0222812021729642
"70","PVC","Patescibacteria_unclassified",0
"71","Foam","Patescibacteria_unclassified",0.0087719298245614
"72","Tile","Patescibacteria_unclassified",0
"73","PVC","Phycisphaerae",0
"74","Foam","Phycisphaerae",0
"75","Tile","Phycisphaerae",0
"76","PVC","Planctomycetacia",0.0045828857858933
"77","Foam","Planctomycetacia",0.00909416398138203
"78","Tile","Planctomycetacia",0.0058360186179735
"79","PVC","Planctomycetes_unclassified",0.0222222222222222
"80","Foam","Planctomycetes_unclassified",0
"81","Tile","Planctomycetes_unclassified",0.2
"82","PVC","Proteobacteria_unclassified",0.00191131498470948
"83","Foam","Proteobacteria_unclassified",0.00668960244648318
"84","Tile","Proteobacteria_unclassified",0.00802752293577982
"85","PVC","Verrucomicrobia_unclassified",0
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0
"88","PVC","Verrucomicrobiae",0.001137278230745
"89","Foam","Verrucomicrobiae",0.00421667774783917
"90","Tile","Verrucomicrobiae",0.00155136415065729
