"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0.146948221000868
"2","Foam","Acidimicrobiia",0.0914087358981776
"3","Tile","Acidimicrobiia",0.0202487706103558
"4","PVC","Actinobacteria_unclassified",0.111111111111111
"5","Foam","Actinobacteria_unclassified",0.222222222222222
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.0329404490706141
"8","Foam","Alphaproteobacteria",0.0429201295407546
"9","Tile","Alphaproteobacteria",0.05001545724945
"10","PVC","Anaerolineae",0
"11","Foam","Anaerolineae",0
"12","Tile","Anaerolineae",0
"13","PVC","Bacilli",0
"14","Foam","Bacilli",0
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.0237293000386857
"17","Foam","Bacteria_unclassified",0.0264747357518126
"18","Tile","Bacteria_unclassified",0.0306490459610897
"19","PVC","Bacteroidetes_unclassified",0.0555555555555556
"20","Foam","Bacteroidetes_unclassified",0
"21","Tile","Bacteroidetes_unclassified",0
"22","PVC","Bacteroidia",0.0214982998793463
"23","Foam","Bacteroidia",0.0251544733282147
"24","Tile","Bacteroidia",0.0219004789587218
"25","PVC","Chlamydiae",0.111111111111111
"26","Foam","Chlamydiae",0
"27","Tile","Chlamydiae",0
"28","PVC","Chloroflexi_unclassified",0
"29","Foam","Chloroflexi_unclassified",0
"30","Tile","Chloroflexi_unclassified",0.0144927536231884
"31","PVC","Cyanobacteria_unclassified",0.0214646464646465
"32","Foam","Cyanobacteria_unclassified",0.0180976430976431
"33","Tile","Cyanobacteria_unclassified",0.0113636363636364
"34","PVC","Deltaproteobacteria",0.0217785843920145
"35","Foam","Deltaproteobacteria",0.0302480338777979
"36","Tile","Deltaproteobacteria",0.0260133091349062
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0
"40","PVC","Firmicutes_unclassified",0
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0.166666666666667
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0
"46","PVC","Gammaproteobacteria",0.0226264510779436
"47","Foam","Gammaproteobacteria",0.0298196517412935
"48","Tile","Gammaproteobacteria",0.0288194444444444
"49","PVC","Gracilibacteria",0.0453787120453787
"50","Foam","Gracilibacteria",0.023023023023023
"51","Tile","Gracilibacteria",0.205205205205205
"52","PVC","Kiritimatiellae",0.0364341085271318
"53","Foam","Kiritimatiellae",0.0310077519379845
"54","Tile","Kiritimatiellae",0.0875968992248062
"55","PVC","Lentisphaerae_unclassified",0.0238095238095238
"56","Foam","Lentisphaerae_unclassified",0
"57","Tile","Lentisphaerae_unclassified",0.0238095238095238
"58","PVC","Lentisphaeria",0.0476190476190476
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0
"61","PVC","Negativicutes",0
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0.0606060606060606
"64","PVC","Oligosphaeria",0
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0
"67","PVC","Oxyphotobacteria",0.012163190356968
"68","Foam","Oxyphotobacteria",0.0115333786888901
"69","Tile","Oxyphotobacteria",0.00838735924677867
"70","PVC","Patescibacteria_unclassified",0.0043859649122807
"71","Foam","Patescibacteria_unclassified",0.0043859649122807
"72","Tile","Patescibacteria_unclassified",0.0482456140350877
"73","PVC","Phycisphaerae",0.111111111111111
"74","Foam","Phycisphaerae",0.111111111111111
"75","Tile","Phycisphaerae",0.111111111111111
"76","PVC","Planctomycetacia",0.0542069459362692
"77","Foam","Planctomycetacia",0.0485141424991049
"78","Tile","Planctomycetacia",0.0253848907984246
"79","PVC","Planctomycetes_unclassified",0.0222222222222222
"80","Foam","Planctomycetes_unclassified",0
"81","Tile","Planctomycetes_unclassified",0
"82","PVC","Proteobacteria_unclassified",0.0728211009174312
"83","Foam","Proteobacteria_unclassified",0.0724388379204893
"84","Tile","Proteobacteria_unclassified",0.0376529051987768
"85","PVC","Verrucomicrobia_unclassified",0
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0
"88","PVC","Verrucomicrobiae",0.0419218252440774
"89","Foam","Verrucomicrobiae",0.0256849914266718
"90","Tile","Verrucomicrobiae",0.0634659574716264
