"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0.00308552695014946
"2","Foam","Acidimicrobiia",0.0026034133641886
"3","Tile","Acidimicrobiia",0.000385690868768682
"4","PVC","Actinobacteria_unclassified",0
"5","Foam","Actinobacteria_unclassified",0
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.0281832179292088
"8","Foam","Alphaproteobacteria",0.0157183719164288
"9","Tile","Alphaproteobacteria",0.01106318863547
"10","PVC","Anaerolineae",0
"11","Foam","Anaerolineae",0
"12","Tile","Anaerolineae",0
"13","PVC","Bacilli",0
"14","Foam","Bacilli",0
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.0342368312680169
"17","Foam","Bacteria_unclassified",0.0129035478516966
"18","Tile","Bacteria_unclassified",0.0100083610996718
"19","PVC","Bacteroidetes_unclassified",0
"20","Foam","Bacteroidetes_unclassified",0
"21","Tile","Bacteroidetes_unclassified",0
"22","PVC","Bacteroidia",0.0147709407334284
"23","Foam","Bacteroidia",0.00877481627728419
"24","Tile","Bacteroidia",0.00811670505648788
"25","PVC","Chlamydiae",0
"26","Foam","Chlamydiae",0
"27","Tile","Chlamydiae",0
"28","PVC","Chloroflexi_unclassified",0
"29","Foam","Chloroflexi_unclassified",0
"30","Tile","Chloroflexi_unclassified",0
"31","PVC","Cyanobacteria_unclassified",0.0143097643097643
"32","Foam","Cyanobacteria_unclassified",0.0164141414141414
"33","Tile","Cyanobacteria_unclassified",0.0155723905723906
"34","PVC","Deltaproteobacteria",0.0338777979431337
"35","Foam","Deltaproteobacteria",0.00665456745311555
"36","Tile","Deltaproteobacteria",0.00483968542044767
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0
"40","PVC","Firmicutes_unclassified",0
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0
"46","PVC","Gammaproteobacteria",0.0372408789386401
"47","Foam","Gammaproteobacteria",0.0204653814262023
"48","Tile","Gammaproteobacteria",0.0155213515754561
"49","PVC","Gracilibacteria",0.002002002002002
"50","Foam","Gracilibacteria",0.00266933600266934
"51","Tile","Gracilibacteria",0.00133466800133467
"52","PVC","Kiritimatiellae",0.0131782945736434
"53","Foam","Kiritimatiellae",0.0062015503875969
"54","Tile","Kiritimatiellae",0.00387596899224806
"55","PVC","Lentisphaerae_unclassified",0.0238095238095238
"56","Foam","Lentisphaerae_unclassified",0
"57","Tile","Lentisphaerae_unclassified",0
"58","PVC","Lentisphaeria",0.0158730158730159
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0
"61","PVC","Negativicutes",0.0303030303030303
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0
"64","PVC","Oligosphaeria",0
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0
"67","PVC","Oxyphotobacteria",0.0148925008727336
"68","Foam","Oxyphotobacteria",0.0192020384929648
"69","Tile","Oxyphotobacteria",0.0203993644144252
"70","PVC","Patescibacteria_unclassified",0
"71","Foam","Patescibacteria_unclassified",0
"72","Tile","Patescibacteria_unclassified",0
"73","PVC","Phycisphaerae",0
"74","Foam","Phycisphaerae",0
"75","Tile","Phycisphaerae",0
"76","PVC","Planctomycetacia",0.0092015753669889
"77","Foam","Planctomycetacia",0.0054421768707483
"78","Tile","Planctomycetacia",0.00411743644826352
"79","PVC","Planctomycetes_unclassified",0
"80","Foam","Planctomycetes_unclassified",0
"81","Tile","Planctomycetes_unclassified",0
"82","PVC","Proteobacteria_unclassified",0.0229357798165138
"83","Foam","Proteobacteria_unclassified",0.00840978593272171
"84","Tile","Proteobacteria_unclassified",0.00974770642201835
"85","PVC","Verrucomicrobia_unclassified",0
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0
"88","PVC","Verrucomicrobiae",0.00258366285241045
"89","Foam","Verrucomicrobiae",0.00179048418891649
"90","Tile","Verrucomicrobiae",0.00120726458340624
