"","Site","Substrate","Taxa","value"
"1","Arizona","PVC","Acidimicrobiia",0
"2","Maryland","PVC","Acidimicrobiia",0.0103172307395622
"3","Washington","PVC","Acidimicrobiia",0.0170668209430142
"4","Higgins Creek","PVC","Acidimicrobiia",0
"5","N Br Chicago R","PVC","Acidimicrobiia",0.146948221000868
"6","Springbrook Creek","PVC","Acidimicrobiia",0.00308552695014946
"7","Arizona","Foam","Acidimicrobiia",0
"8","Maryland","Foam","Acidimicrobiia",0.029408928743612
"9","Washington","Foam","Acidimicrobiia",0.00356764053611031
"10","Higgins Creek","Foam","Acidimicrobiia",0
"11","N Br Chicago R","Foam","Acidimicrobiia",0.0914087358981776
"12","Springbrook Creek","Foam","Acidimicrobiia",0.0026034133641886
"13","Arizona","Tile","Acidimicrobiia",0.000192845434384341
"14","Maryland","Tile","Acidimicrobiia",0.00617105390029891
"15","Washington","Tile","Acidimicrobiia",0.00192845434384341
"16","Higgins Creek","Tile","Acidimicrobiia",0
"17","N Br Chicago R","Tile","Acidimicrobiia",0.0202487706103558
"18","Springbrook Creek","Tile","Acidimicrobiia",0.000385690868768682
"19","Arizona","PVC","Actinobacteria_unclassified",0
"20","Maryland","PVC","Actinobacteria_unclassified",0
"21","Washington","PVC","Actinobacteria_unclassified",0
"22","Higgins Creek","PVC","Actinobacteria_unclassified",0
"23","N Br Chicago R","PVC","Actinobacteria_unclassified",0.111111111111111
"24","Springbrook Creek","PVC","Actinobacteria_unclassified",0
"25","Arizona","Foam","Actinobacteria_unclassified",0
"26","Maryland","Foam","Actinobacteria_unclassified",0
"27","Washington","Foam","Actinobacteria_unclassified",0
"28","Higgins Creek","Foam","Actinobacteria_unclassified",0
"29","N Br Chicago R","Foam","Actinobacteria_unclassified",0.222222222222222
"30","Springbrook Creek","Foam","Actinobacteria_unclassified",0
"31","Arizona","Tile","Actinobacteria_unclassified",0
"32","Maryland","Tile","Actinobacteria_unclassified",0
"33","Washington","Tile","Actinobacteria_unclassified",0
"34","Higgins Creek","Tile","Actinobacteria_unclassified",0
"35","N Br Chicago R","Tile","Actinobacteria_unclassified",0
"36","Springbrook Creek","Tile","Actinobacteria_unclassified",0
"37","Arizona","PVC","Alphaproteobacteria",0.0293747767703053
"38","Maryland","PVC","Alphaproteobacteria",0.00347863147816326
"39","Washington","PVC","Alphaproteobacteria",0.00723939527638462
"40","Higgins Creek","PVC","Alphaproteobacteria",0.00393484544251254
"41","N Br Chicago R","PVC","Alphaproteobacteria",0.0329404490706141
"42","Springbrook Creek","PVC","Alphaproteobacteria",0.0281832179292088
"43","Arizona","Foam","Alphaproteobacteria",0.0427790633807256
"44","Maryland","Foam","Alphaproteobacteria",0.00926834685467484
"45","Washington","Foam","Alphaproteobacteria",0.00242813879709584
"46","Higgins Creek","Foam","Alphaproteobacteria",0.0021159924004358
"47","N Br Chicago R","Foam","Alphaproteobacteria",0.0429201295407546
"48","Springbrook Creek","Foam","Alphaproteobacteria",0.0157183719164288
"49","Arizona","Tile","Alphaproteobacteria",0.0401018077478337
