SITE,DATE,SUBSTRATE,RESPIRATION,SE,NORM_RESPIRATION,NORM_SE
AZ,6.22.18,TILE,-3.74E-03,3.54E-04,-8.70E-03,8.22E-04
AZ,6.22.18,PVC,-3.21E-03,3.94E-04,-6.50E-03,2.28E-03
AZ,6.22.18,FOAM,-3.74E-03,1.61E-04,-8.59E-03,2.23E-03
MD,6.27.18,TILE,-2.61E-04,6.66E-05,-5.00E-04,1.87E-04
MD,6.27.18,PVC,-2.97E-04,1.81E-04,-5.87E-04,3.94E-04
MD,6.27.18,FOAM,-3.93E-04,1.14E-04,-4.92E-04,9.50E-05
WA,7.16.18,TILE,-7.91E-05,3.90E-05,-1.84E-04,9.05E-05
WA,7.16.18,PVC,4.47E-04,7.02E-05,1.25E-03,1.94E-04
WA,7.16.18,FOAM,6.50E-04,1.77E-04,1.82E-03,4.94E-04
HC,7.24.18,TILE,-2.10E-03,1.98E-04,-4.81E-03,4.44E-04
HC,7.24.18,PVC,-1.31E-03,9.21E-05,-3.64E-03,2.49E-04
HC,7.24.18,FOAM,-4.34E-03,7.14E-04,-1.20E-02,2.00E-03
NB,7.28.18,TILE,-2.86E-04,1.62E-04,-6.61E-04,3.75E-04
NB,7.28.18,PVC,-3.14E-04,1.15E-04,-8.73E-04,3.19E-04
NB,7.28.18,FOAM,3.64E-04,1.69E-04,1.01E-03,4.73E-04
SC,7.23.18,TILE,-1.06E-03,2.68E-05,-2.43E-03,6.12E-05
SC,7.23.18,PVC,-4.46E-04,1.33E-04,-1.17E-03,3.59E-04
SC,7.23.18,FOAM,-2.19E-04,1.94E-05,-6.01E-04,5.27E-05
